label,category,initial_amount,bulk_exit_yen,bulk_exit_pct,n_trading_days,net_profit_after_tax,realized_after_tax,ending_unrealized_pnl,final_equity,annualized_return,sharpe_like,max_drawdown_equity,max_unrealized_loss,total_interest_paid,total_tax_paid,buy_trade_count,sell_trade_count,harvest_days,bulk_exit_count,avg_profit_per_harvest_day,median_profit_per_harvest_day,win_rate_closed_lots,profit_factor,max_consecutive_days_without_take_profit,max_lot_holding_days,days_underwater,pct_days_underwater,max_consecutive_underwater_days,margin_call_count,exposure_limit_hit_count,max_gross_exposure,average_gross_exposure,comfort_score
bulk_pct__init0__pct0.1,bulk_pct,0.0,,0.1,3032,6137013.623709602,6137013.623709602,0,106137013.6237096,0.004962564829095628,0.4368629959696611,2534484.3207534254,2367686.3984931507,458379.84778080386,1564578.4246176903,1136,40,40,40,153425.34059274005,111804.4520572213,0.835387323943662,9.15653264441116,378,378,1273,0.4198548812664908,245,0,0,7266820.0,1970748.261873351,-1.5000193893105556
bulk_pct__init0__pct0.12,bulk_pct,0.0,,0.12,3032,6492283.133229016,6492283.133229016,0,106492283.13322902,0.005241720704747932,0.4457679025802578,2534484.3207534254,2367686.3984931507,500181.2744657411,1655151.306413346,1067,34,34,34,190949.50391850047,163131.5300702381,0.8509840674789129,10.871759925759244,382,382,1255,0.41391820580474936,245,0,0,7434440.0,2150468.398746702,-1.3606836396859323
bulk_pct__init0__pct0.15,bulk_pct,0.0,,0.15,3032,6435100.764165991,6435100.764165991,0,106435100.764166,0.005196846911029729,0.39591127273464966,2704005.8181780875,2418116.8564657527,626556.1438355969,1640573.1571065083,878,24,24,24,268129.1985069163,222887.8442972103,0.8337129840546698,14.718629245618931,531,531,1159,0.38225593667546176,244,0,0,7814035.0,2693801.7397757256,-1.0467184812650905
bulk_pct__init0__pct0.2,bulk_pct,0.0,,0.2,3032,7770163.112628576,7770163.112628576,0,107770163.11262858,0.006238815155527044,0.45091019216991046,2704005.8181780875,2418116.8564657527,699792.5146300966,1980935.7298494012,790,19,19,19,408955.9532962409,338748.65641100565,0.8544303797468354,25.8773158362381,562,562,1280,0.42216358839050133,244,0,0,8061785.0,3008672.5857519787,-1.0145885095095302
bulk_pct__init0__pct0.25,bulk_pct,0.0,,0.25,3032,8550439.822347457,8550439.822347457,0,108550439.82234746,0.00684232624400094,0.4726585512909144,2691049.1326301396,2424306.645753424,770855.9366027002,2179860.5131579167,691,15,15,15,570029.3214898304,396525.8887571294,0.8885672937771346,63.9885941583877,618,618,1315,0.4337071240105541,244,0,0,8474400.0,3314201.10323219,-1.0774707572486846
bulk_pct__init500000__pct0.03,bulk_pct,500000.0,,0.03,3032,3677066.095140725,3677066.095140725,0,103677066.09514073,0.0030057975025734596,0.4572050805161189,1171945.625794515,1171707.7134246575,146631.0946301373,946352.3551033633,1796,189,189,189,19455.37616476574,8459.712484476757,0.7834075723830735,4.175489926998018,83,83,1294,0.4267810026385224,55,0,0,5139460.0,630422.5115435356,0.3376310169164438
bulk_pct__init500000__pct0.05,bulk_pct,500000.0,,0.05,3032,5093651.461120783,5093651.461120783,0,105093651.46112078,0.00413775355132584,0.5647787010594824,1171945.625794515,1171707.7134246575,211432.96827396893,1307498.5144794676,1620,112,112,112,45479.030902864135,28692.798979959625,0.8265432098765432,6.239094827239113,126,126,1276,0.420844327176781,57,0,0,5139460.0,909030.2655013193,0.47725992166250747
bulk_pct__init500000__pct0.08,bulk_pct,500000.0,,0.08,3032,5993955.645966563,5993955.645966563,0,105993955.64596656,0.004849913854636068,0.45163631295640716,2534484.3207534254,2367686.3984931507,386665.6356164228,1528107.033291219,1259,54,54,54,110999.17862901044,69613.28190072984,0.8077839555202542,7.7742895313721645,375,375,1284,0.4234828496042216,245,0,0,7178080.0,1662421.7513192613,-1.5332607871556498
bulk_pct__init500000__pct0.1,bulk_pct,500000.0,,0.1,3032,6188989.082112121,6188989.082112121,0,106188989.08211212,0.005003458416716011,0.44060629254361694,2534484.3207534254,2367686.3984931507,458573.45780820097,1577829.1171877745,1135,40,40,40,154724.72705280303,111804.4520572213,0.8352422907488987,9.225611768096098,378,378,1273,0.4198548812664908,245,0,0,7266820.0,1971580.6645778364,-1.4897791604362847
bulk_pct__init500000__pct0.12,bulk_pct,500000.0,,0.12,3032,6544258.591631535,6544258.591631535,0,106544258.59163153,0.005282489218978226,0.4493839205610088,2534484.3207534254,2367686.3984931507,500374.8844931386,1668401.9989834302,1066,34,34,34,192478.19387151574,163131.5300702381,0.850844277673546,10.950790559028277,382,382,1255,0.41391820580474936,245,0,0,7434440.0,2151300.801451187,-1.3494241719401048
